Brand Name,Link,Brand Category,Social Media,Influencer Marketing,Website,Public Relation
Dales Eden,https://www.instagram.com/dalesedencakeshop,Food & Beverages,y,y,n,n
Cremure,https://www.instagram.com/cremure_,Food & Beverages,y,y,n,n
Evorea,https://www.instagram.com/evorea.in/,Food & Beverages,y,y,n,n
Cremoria,https://www.instagram.com/cremoria__,Food & Beverages,y,y,n,n
Creamers,https://www.instagram.com/creamerscakesbakes,Food & Beverages,y,y,n,n
House of Pasta,https://www.instagram.com/thehouseofpasta/,Food & Beverages,y,n,n,n
Beach House,https://www.instagram.com/thebeachhousegorai,Food & Beverages,y,y,n,n
Shawarma Cafe,https://www.instagram.com/shawarmacafeindia,Food & Beverages,y,y,n,n
Cafe Alif,https://www.instagram.com/cafe_alif,Food & Beverages,y,n,n,n
Persiana,https://www.instagram.com/persianaa_royaldining,Food & Beverages,y,n,n,n
Bakewills,https://www.instagram.com/bakewills,Food & Beverages,y,y,n,n
Rare Earth,https://www.instagram.com/rareearthcafe,Food & Beverages,y,y,n,n
Delhi Zaika,https://www.instagram.com/delhizaikaofficial,Food & Beverages,y,y,n,n
Taipei,https://www.instagram.com/taipei_authentic_asian_cuisine,Food & Beverages,y,y,n,n
Ajwa,https://www.instagram.com/ajwahouseofdryfruits_official,Food & Beverages,y,y,y,n
D2D,https://www.instagram.com/d2d._ent,Food & Beverages,y,n,n,n
Urban Italiano,https://www.instagram.com/urban_italiano_/,Food & Beverages,y,y,n,n
Harish Lunch Home,https://www.instagram.com/harish_lunch_home,Food & Beverages,y,y,n,n
Istanbul Darbar,https://www.instagram.com/istanbuldarbar,Food & Beverages,y,y,n,n
Franco's Pizzeria,https://www.instagram.com/francospizzeriaindia,Food & Beverages,y,y,n,n
Era,https://www.instagram.com/era.furnishings,Lifestyle,y,n,y,n
Shama Perfumes,https://www.instagram.com/shamabrothersperfumers,Lifestyle,y,y,n,n
Al Hassan,https://www.instagram.com/alhassan_india,Lifestyle,Y,n,n,n
Meer Azam Perfumes,https://www.instagram.com/meerazman_perfumes,Lifestyle,y,n,n,n
Arbi Perfumes,https://www.instagram.com/arbi_perfumes,Lifestyle,y,n,n,n
Sparkle Creations,https://www.instagram.com/spar.kle170,Fashion,y,n,n,n
MnM,https://www.instagram.com/mnm_garments,Fashion,y,y,y,n
King Choice,https://www.instagram.com/kingchoice_01,Fashion,y,n,n,n
Ghariza,https://www.instagram.com/ghareeza__,Fashion,y,n,n,n
Baryal ,www.baryalaroma.com,Lifestyle,n,n,y,n
Belmont london,https://belmontlondon.com/,Real Estate,n,n,y,n
ecofacade ,https://ecofacadeksa.com/,Architecture,n,n,y,n
kikfat,https://kikfat.com/,Healthcare,n,n,y,n
Ajwa,https://ajwadryfruits.com/,Food & Beverages,y,y,y,n
Era Furnishings,https://erafurnishings.com/,Lifestyle,y,n,y,n
Vertifacts,https://verifacts.ph/,Technologies,n,n,y,n
Royal Homes,https://www.instagram.com/royalhomeslonavla,Real Estate,y,n,n,n
Wens,https://www.instagram.com/wens.property,Real Estate,y,n,n,n
Reality Route,https://www.instagram.com/realty_route,Real Estate,y,n,n,n
Veena Developers,https://www.instagram.com/veena_developers,Real Estate,n,y,n,n
IRTH Umar,https://www.instagram.com/irth.umar,Real Estate,y,n,n,n
Global Gypsum,https://www.instagram.com/globalgypsumindia,Architecture,y,y,n,n
Design Matters,https://www.instagram.com/designmattersarchitects_,Architecture,y,n,n,n
YQ Design,https://www.instagram.com/ygdesignstudio,Architecture,Y,n,n,n
Regnant Interiors,https://www.instagram.com/regnant_interiors,Architecture,y,n,n,n
SOP,https://www.instagram.com/storiesonplate__,Personal Branding,y,n,y,n
Anichee,https://www.instagram.com/aniichebyanishashetty,Personal Branding,y,y,n,n
K Square,https://www.instagram.com/k.squarevillas,Personal Branding,y,y,n,n
Cruise Career,https://www.instagram.com/cruisecareer_,Teaching,y,n,y,n
Ryz Nxt,https://www.instagram.com/ryznxt_,Teaching,y,n,y,n
Munazah qazi,https://www.instagram.com/munazahqazi,Health Care,y,n,n,n
Herbalist,https://www.instagram.com/theherbalist_wellness,Health Care,y,n,n,n
Ryz Nxt,https://ryznxt.com,Teaching,y,n,y,n
Healism Hospitality,https://www.instagram.com/healism_hospitality,Hospitality,y,n,n,n
Ananta ,https://www.instagram.com/anantahospitality,Hospitality,y,n,n,n
Unique Developer,https://www.instagram.com/unique.developers/,Realestate,y,y,n,n
Top10,https://www.instagram.com/top10retail/,B2B,n,y,n,n
Pilgrim,https://www.instagram.com/discover.pilgrim/,Fashion/lifestyle,n,y,n,n
Lakme,https://www.instagram.com/lakmeindia/,Fashion/lifestyle,n,y,n,n
Ira Mumbai,https://www.instagram.com/iramumbai/,Hospitality,y,n,n,n
Hashtag Hospitality,https://www.instagram.com/hashtag_hospitality/,Hospitality,y,n,n,n
Maxx Value,https://www.instagram.com/maxxvaluehotel_midc/,Hospitality,y,n,n,n
Madina School,https://www.instagram.com/madinaschools/,teaching,y,n,n,n
Wadias Tutorials,https://www.instagram.com/wadiastutorials/,teaching,y,n,n,n